generated_path,target_path,psnr,ssim,lpips,nmi
generated_by_model\subject01\gen_drr000.png,data\deepfluoro\subject01\DRRs_bone_png\drr000_bone.png,36.389644622802734,0.9848928535461425,0.005910365376621485,0.6703062546339069
generated_by_model\subject01\gen_drr001.png,data\deepfluoro\subject01\DRRs_bone_png\drr001_bone.png,38.06620407104492,0.9859214863061905,0.005583953112363815,0.6526629843826277
generated_by_model\subject01\gen_drr002.png,data\deepfluoro\subject01\DRRs_bone_png\drr002_bone.png,38.575836181640625,0.9801009126625061,0.005620784126222134,0.6863622417843368
generated_by_model\subject01\gen_drr003.png,data\deepfluoro\subject01\DRRs_bone_png\drr003_bone.png,40.01782989501953,0.9772374744253158,0.006338680628687143,0.6720468403646789
generated_by_model\subject01\gen_drr004.png,data\deepfluoro\subject01\DRRs_bone_png\drr004_bone.png,37.498939514160156,0.9763936133246421,0.005963088944554329,0.6869747411678782
generated_by_model\subject01\gen_drr005.png,data\deepfluoro\subject01\DRRs_bone_png\drr005_bone.png,36.62115478515625,0.978472157702446,0.005911916494369507,0.6813530997182035
generated_by_model\subject01\gen_drr006.png,data\deepfluoro\subject01\DRRs_bone_png\drr006_bone.png,38.16509246826172,0.9782673378243446,0.00594126945361495,0.6908009741927903
generated_by_model\subject01\gen_drr007.png,data\deepfluoro\subject01\DRRs_bone_png\drr007_bone.png,36.74951171875,0.9808608259124756,0.0060812439769506454,0.6729373443949836
generated_by_model\subject01\gen_drr008.png,data\deepfluoro\subject01\DRRs_bone_png\drr008_bone.png,35.924442291259766,0.9799379960632324,0.006563208065927029,0.6782047330877718
generated_by_model\subject01\gen_drr009.png,data\deepfluoro\subject01\DRRs_bone_png\drr009_bone.png,35.24956512451172,0.9780804753942489,0.007138892542570829,0.6560177329537374
generated_by_model\subject01\gen_drr010.png,data\deepfluoro\subject01\DRRs_bone_png\drr010_bone.png,35.39830017089844,0.9809481744346619,0.006222262978553772,0.6731765144815045
generated_by_model\subject01\gen_drr011.png,data\deepfluoro\subject01\DRRs_bone_png\drr011_bone.png,36.881935119628906,0.9819347990093231,0.006138714961707592,0.6662581562803217
generated_by_model\subject01\gen_drr012.png,data\deepfluoro\subject01\DRRs_bone_png\drr012_bone.png,36.328426361083984,0.9822944252414704,0.00544385239481926,0.6717176815117708
generated_by_model\subject01\gen_drr013.png,data\deepfluoro\subject01\DRRs_bone_png\drr013_bone.png,36.54219055175781,0.9843404104499817,0.0063947029411792755,0.668192259859055
generated_by_model\subject01\gen_drr014.png,data\deepfluoro\subject01\DRRs_bone_png\drr014_bone.png,33.02458190917969,0.9817353167266846,0.008344246074557304,0.6495732380174142
generated_by_model\subject01\gen_drr015.png,data\deepfluoro\subject01\DRRs_bone_png\drr015_bone.png,34.2562255859375,0.9842087583236694,0.00719761848449707,0.6528449409169955
generated_by_model\subject01\gen_drr016.png,data\deepfluoro\subject01\DRRs_bone_png\drr016_bone.png,34.46385192871094,0.9790425123004913,0.008139857091009617,0.6377339346576744
generated_by_model\subject01\gen_drr017.png,data\deepfluoro\subject01\DRRs_bone_png\drr017_bone.png,35.99274444580078,0.9778122840452195,0.00734187476336956,0.6683823406660004
generated_by_model\subject01\gen_drr018.png,data\deepfluoro\subject01\DRRs_bone_png\drr018_bone.png,35.94856643676758,0.9760050984220505,0.0068176425993442535,0.6613341113313832
generated_by_model\subject01\gen_drr019.png,data\deepfluoro\subject01\DRRs_bone_png\drr019_bone.png,37.40357208251953,0.9837414564714432,0.005542616825550795,0.6731501805964529
generated_by_model\subject01\gen_drr020.png,data\deepfluoro\subject01\DRRs_bone_png\drr020_bone.png,37.69464111328125,0.9826527306756974,0.005757759790867567,0.6668979639539713
generated_by_model\subject01\gen_drr021.png,data\deepfluoro\subject01\DRRs_bone_png\drr021_bone.png,36.9042854309082,0.9833962632684707,0.006187428720295429,0.673615381461403
generated_by_model\subject01\gen_drr022.png,data\deepfluoro\subject01\DRRs_bone_png\drr022_bone.png,35.90921401977539,0.9729023390626907,0.006387851666659117,0.6802179756129367
generated_by_model\subject01\gen_drr023.png,data\deepfluoro\subject01\DRRs_bone_png\drr023_bone.png,35.50299072265625,0.9839380843954086,0.006479194387793541,0.6650673300844959
generated_by_model\subject01\gen_drr024.png,data\deepfluoro\subject01\DRRs_bone_png\drr024_bone.png,35.35333251953125,0.9823496906461716,0.006348584778606892,0.6682296326797348
generated_by_model\subject01\gen_drr025.png,data\deepfluoro\subject01\DRRs_bone_png\drr025_bone.png,36.70237731933594,0.9817702115945816,0.006360857747495174,0.6765842956142649
generated_by_model\subject01\gen_drr026.png,data\deepfluoro\subject01\DRRs_bone_png\drr026_bone.png,39.55839157104492,0.9822121133346557,0.0056012351997196674,0.6732022755294802
generated_by_model\subject01\gen_drr027.png,data\deepfluoro\subject01\DRRs_bone_png\drr027_bone.png,37.6533088684082,0.980985018257618,0.005241564474999905,0.6881358822229605
generated_by_model\subject01\gen_drr028.png,data\deepfluoro\subject01\DRRs_bone_png\drr028_bone.png,41.31143569946289,0.9777120288982392,0.006369315087795258,0.6959386221266654
generated_by_model\subject01\gen_drr029.png,data\deepfluoro\subject01\DRRs_bone_png\drr029_bone.png,38.299041748046875,0.9826853265018464,0.005849407985806465,0.6665462322025406
generated_by_model\subject01\gen_drr030.png,data\deepfluoro\subject01\DRRs_bone_png\drr030_bone.png,37.18257141113281,0.9856372364387512,0.0056513273157179356,0.6527823569332333
generated_by_model\subject01\gen_drr031.png,data\deepfluoro\subject01\DRRs_bone_png\drr031_bone.png,37.651206970214844,0.9834571355981827,0.0058998726308345795,0.6694224464565611
