generated_path,target_path,psnr,ssim,lpips,nmi
generated_by_model\subject01\gen_drr000.png,data\deepfluoro\subject01\DRRs_bone_png\drr000_bone.png,41.69540786743164,0.989849166466713,0.003597627393901348,0.7007521154535825
generated_by_model\subject01\gen_drr001.png,data\deepfluoro\subject01\DRRs_bone_png\drr001_bone.png,38.23795700073242,0.9886556411437988,0.0037283841520547867,0.6835286791144076
generated_by_model\subject01\gen_drr002.png,data\deepfluoro\subject01\DRRs_bone_png\drr002_bone.png,42.428619384765625,0.9779782617516518,0.004281528759747744,0.7173676724221215
generated_by_model\subject01\gen_drr003.png,data\deepfluoro\subject01\DRRs_bone_png\drr003_bone.png,40.08067321777344,0.9797841996097565,0.004363120999187231,0.7096435419554751
generated_by_model\subject01\gen_drr004.png,data\deepfluoro\subject01\DRRs_bone_png\drr004_bone.png,41.5593147277832,0.9791743325276375,0.003927091136574745,0.7157100062501874
generated_by_model\subject01\gen_drr005.png,data\deepfluoro\subject01\DRRs_bone_png\drr005_bone.png,41.699913024902344,0.9795366859812736,0.004320860840380192,0.7294185245962316
generated_by_model\subject01\gen_drr006.png,data\deepfluoro\subject01\DRRs_bone_png\drr006_bone.png,42.21205139160156,0.9806303347373009,0.0037794304080307484,0.7208268879218485
generated_by_model\subject01\gen_drr007.png,data\deepfluoro\subject01\DRRs_bone_png\drr007_bone.png,42.286563873291016,0.9805738118743896,0.0036170324310660362,0.7081118097274357
generated_by_model\subject01\gen_drr008.png,data\deepfluoro\subject01\DRRs_bone_png\drr008_bone.png,39.78015899658203,0.9837937927207947,0.0034661958925426006,0.7043076027343522
generated_by_model\subject01\gen_drr009.png,data\deepfluoro\subject01\DRRs_bone_png\drr009_bone.png,39.65911102294922,0.9858869964046478,0.0038563667330890894,0.6895829278903967
generated_by_model\subject01\gen_drr010.png,data\deepfluoro\subject01\DRRs_bone_png\drr010_bone.png,37.847190856933594,0.9850912025136948,0.003849139204248786,0.6930727563673621
generated_by_model\subject01\gen_drr011.png,data\deepfluoro\subject01\DRRs_bone_png\drr011_bone.png,42.343421936035156,0.9871135171074867,0.003477518679574132,0.6962090453541901
generated_by_model\subject01\gen_drr012.png,data\deepfluoro\subject01\DRRs_bone_png\drr012_bone.png,39.4998779296875,0.9861051585159302,0.0036841598339378834,0.7003527343613892
generated_by_model\subject01\gen_drr013.png,data\deepfluoro\subject01\DRRs_bone_png\drr013_bone.png,38.46217727661133,0.9868590434379577,0.003477005986496806,0.6895366963034092
generated_by_model\subject01\gen_drr014.png,data\deepfluoro\subject01\DRRs_bone_png\drr014_bone.png,36.847389221191406,0.9883746360597611,0.003914354834705591,0.6861817049937443
generated_by_model\subject01\gen_drr015.png,data\deepfluoro\subject01\DRRs_bone_png\drr015_bone.png,37.034690856933594,0.9871614230890274,0.003641547402366996,0.6852387820121519
generated_by_model\subject01\gen_drr016.png,data\deepfluoro\subject01\DRRs_bone_png\drr016_bone.png,36.682552337646484,0.9852456259403228,0.004514758009463549,0.6850512063104216
generated_by_model\subject01\gen_drr017.png,data\deepfluoro\subject01\DRRs_bone_png\drr017_bone.png,38.54949951171875,0.9854852299900055,0.003684339579194784,0.6910374560145164
generated_by_model\subject01\gen_drr018.png,data\deepfluoro\subject01\DRRs_bone_png\drr018_bone.png,36.64371871948242,0.9846097934274674,0.0033946922048926353,0.698187745804444
generated_by_model\subject01\gen_drr019.png,data\deepfluoro\subject01\DRRs_bone_png\drr019_bone.png,40.955101013183594,0.9878813140802384,0.0032962998375296593,0.7037901529442552
generated_by_model\subject01\gen_drr020.png,data\deepfluoro\subject01\DRRs_bone_png\drr020_bone.png,41.704044342041016,0.9875335685548783,0.003202938474714756,0.7005989924000019
generated_by_model\subject01\gen_drr021.png,data\deepfluoro\subject01\DRRs_bone_png\drr021_bone.png,39.883033752441406,0.9875772657117844,0.0037286675069481134,0.7001060810836592
generated_by_model\subject01\gen_drr022.png,data\deepfluoro\subject01\DRRs_bone_png\drr022_bone.png,37.210994720458984,0.9833393831558227,0.003836020128801465,0.7066344223522748
generated_by_model\subject01\gen_drr023.png,data\deepfluoro\subject01\DRRs_bone_png\drr023_bone.png,38.57674026489258,0.9879255143604279,0.0038438034243881702,0.6907684825719542
generated_by_model\subject01\gen_drr024.png,data\deepfluoro\subject01\DRRs_bone_png\drr024_bone.png,39.95335006713867,0.9859415414915085,0.0036861796397715807,0.6917884570585597
generated_by_model\subject01\gen_drr025.png,data\deepfluoro\subject01\DRRs_bone_png\drr025_bone.png,37.75037384033203,0.9855434045000077,0.003792431205511093,0.6948759959678599
generated_by_model\subject01\gen_drr026.png,data\deepfluoro\subject01\DRRs_bone_png\drr026_bone.png,41.934326171875,0.9847088149824142,0.002870294963940978,0.7033395777834497
generated_by_model\subject01\gen_drr027.png,data\deepfluoro\subject01\DRRs_bone_png\drr027_bone.png,41.67947769165039,0.9806034799380302,0.0033431383781135082,0.7133191937141878
generated_by_model\subject01\gen_drr028.png,data\deepfluoro\subject01\DRRs_bone_png\drr028_bone.png,44.27890396118164,0.9807754710636138,0.003989840857684612,0.7192367948884782
generated_by_model\subject01\gen_drr029.png,data\deepfluoro\subject01\DRRs_bone_png\drr029_bone.png,39.26755905151367,0.9855692294816971,0.0031722059939056635,0.7015448911524478
generated_by_model\subject01\gen_drr030.png,data\deepfluoro\subject01\DRRs_bone_png\drr030_bone.png,38.51401138305664,0.9887857756881714,0.00334802083671093,0.6830723471809313
generated_by_model\subject01\gen_drr031.png,data\deepfluoro\subject01\DRRs_bone_png\drr031_bone.png,41.484561920166016,0.987702970155716,0.0030553373508155346,0.702405735579891
generated_by_model\subject01\gen_drr032.png,data\deepfluoro\subject01\DRRs_bone_png\drr032_bone.png,43.15059280395508,0.9862211037979126,0.003241355763748288,0.6962405165008402
generated_by_model\subject01\gen_drr033.png,data\deepfluoro\subject01\DRRs_bone_png\drr033_bone.png,40.74195861816406,0.9816764163179398,0.00442544836550951,0.7046490732580462
generated_by_model\subject01\gen_drr034.png,data\deepfluoro\subject01\DRRs_bone_png\drr034_bone.png,39.76808166503906,0.9885966067790986,0.003999737091362476,0.6818238487416078
generated_by_model\subject01\gen_drr035.png,data\deepfluoro\subject01\DRRs_bone_png\drr035_bone.png,39.36701965332031,0.985111936372757,0.003243879647925496,0.70073736086734
generated_by_model\subject01\gen_drr036.png,data\deepfluoro\subject01\DRRs_bone_png\drr036_bone.png,41.91820526123047,0.9772273933887482,0.0035940464586019516,0.69231969054052
generated_by_model\subject01\gen_drr037.png,data\deepfluoro\subject01\DRRs_bone_png\drr037_bone.png,40.53026580810547,0.979363453212738,0.004199688322842121,0.7113523749431255
generated_by_model\subject01\gen_drr038.png,data\deepfluoro\subject01\DRRs_bone_png\drr038_bone.png,38.785701751708984,0.9795077555646896,0.00485800439491868,0.7041132333457139
generated_by_model\subject01\gen_drr039.png,data\deepfluoro\subject01\DRRs_bone_png\drr039_bone.png,40.12785339355469,0.9791052319588661,0.004243440926074982,0.6965816434208356
generated_by_model\subject01\gen_drr040.png,data\deepfluoro\subject01\DRRs_bone_png\drr040_bone.png,40.362762451171875,0.9795497186927795,0.004566416144371033,0.6924243068344393
generated_by_model\subject01\gen_drr041.png,data\deepfluoro\subject01\DRRs_bone_png\drr041_bone.png,40.00889205932617,0.9874076525042057,0.0034241126850247383,0.697237568060068
generated_by_model\subject01\gen_drr042.png,data\deepfluoro\subject01\DRRs_bone_png\drr042_bone.png,38.91114807128906,0.9882335275115967,0.0038920328952372074,0.6880057363846869
generated_by_model\subject01\gen_drr043.png,data\deepfluoro\subject01\DRRs_bone_png\drr043_bone.png,37.54303741455078,0.9869688081769943,0.003973251674324274,0.7014011563395923
generated_by_model\subject01\gen_drr044.png,data\deepfluoro\subject01\DRRs_bone_png\drr044_bone.png,38.79612350463867,0.9879624733686447,0.0038908759597688913,0.701344928433268
generated_by_model\subject01\gen_drr045.png,data\deepfluoro\subject01\DRRs_bone_png\drr045_bone.png,40.61042785644531,0.9881910454778672,0.0032172957435250282,0.7016492954814065
generated_by_model\subject01\gen_drr046.png,data\deepfluoro\subject01\DRRs_bone_png\drr046_bone.png,36.846988677978516,0.9836601209115982,0.004061080515384674,0.6751044971534508
generated_by_model\subject01\gen_drr047.png,data\deepfluoro\subject01\DRRs_bone_png\drr047_bone.png,40.704227447509766,0.9835413295211792,0.0038437978364527225,0.6912536195818815
generated_by_model\subject01\gen_drr048.png,data\deepfluoro\subject01\DRRs_bone_png\drr048_bone.png,39.053768157958984,0.9773950719013215,0.004571126773953438,0.6981994797015315
generated_by_model\subject01\gen_drr049.png,data\deepfluoro\subject01\DRRs_bone_png\drr049_bone.png,38.10103988647461,0.9749407606253624,0.004801679402589798,0.6981197983049418
generated_by_model\subject01\gen_drr050.png,data\deepfluoro\subject01\DRRs_bone_png\drr050_bone.png,39.626869201660156,0.9820947114992141,0.003817391349002719,0.677183154130469
generated_by_model\subject01\gen_drr051.png,data\deepfluoro\subject01\DRRs_bone_png\drr051_bone.png,39.406646728515625,0.9884205794944764,0.003672319930046797,0.6938031705415455
generated_by_model\subject01\gen_drr052.png,data\deepfluoro\subject01\DRRs_bone_png\drr052_bone.png,41.029884338378906,0.9883039442510605,0.0033240150660276413,0.6880313705454327
generated_by_model\subject01\gen_drr053.png,data\deepfluoro\subject01\DRRs_bone_png\drr053_bone.png,36.984283447265625,0.98166461506176,0.005004703998565674,0.6823405819651077
generated_by_model\subject01\gen_drr054.png,data\deepfluoro\subject01\DRRs_bone_png\drr054_bone.png,39.55247497558594,0.9816895529937744,0.004364218097180128,0.6778807351906948
generated_by_model\subject01\gen_drr055.png,data\deepfluoro\subject01\DRRs_bone_png\drr055_bone.png,38.292640686035156,0.9836603877258301,0.004489713814109564,0.6929847124470204
generated_by_model\subject01\gen_drr056.png,data\deepfluoro\subject01\DRRs_bone_png\drr056_bone.png,41.067352294921875,0.9883954152355194,0.0037737113889306784,0.687584001169582
generated_by_model\subject01\gen_drr057.png,data\deepfluoro\subject01\DRRs_bone_png\drr057_bone.png,38.545501708984375,0.986106429564476,0.003795936470851302,0.6976749235820636
generated_by_model\subject01\gen_drr058.png,data\deepfluoro\subject01\DRRs_bone_png\drr058_bone.png,37.37879943847656,0.984281366625309,0.0037457209546118975,0.6815002295785891
generated_by_model\subject01\gen_drr059.png,data\deepfluoro\subject01\DRRs_bone_png\drr059_bone.png,41.285789489746094,0.9741153915367127,0.005001617129892111,0.6848091971537767
generated_by_model\subject01\gen_drr060.png,data\deepfluoro\subject01\DRRs_bone_png\drr060_bone.png,32.586036682128906,0.9831937190628052,0.005165215581655502,0.6829565467729231
generated_by_model\subject01\gen_drr061.png,data\deepfluoro\subject01\DRRs_bone_png\drr061_bone.png,38.6378288269043,0.9872762881250381,0.0033523133024573326,0.6891412592253993
generated_by_model\subject01\gen_drr062.png,data\deepfluoro\subject01\DRRs_bone_png\drr062_bone.png,39.58173370361328,0.982313504216671,0.0035223588347434998,0.6844859791686111
generated_by_model\subject01\gen_drr063.png,data\deepfluoro\subject01\DRRs_bone_png\drr063_bone.png,38.57688522338867,0.9878686108722686,0.0035622604191303253,0.6833267913445724
